adsh,tag,version,coreg,ddate,qtrs,uom,value,footnote
0001628280-16-020309,AccountsPayableCurrent,us-gaap/2015,,20150930,0,USD,35490000000,
0001628280-16-020309,AccountsPayableCurrent,us-gaap/2015,,20160930,0,USD,37294000000,
0001652044-16-000038,AccountsPayableCurrent,us-gaap/2015,,20151231,0,USD,1931000000,
0001652044-16-000038,AccountsPayableCurrent,us-gaap/2015,,20160930,0,USD,2175000000,
0001628280-16-020309,AccountsReceivableNetCurrent,us-gaap/2015,,20150930,0,USD,16849000000,
0001628280-16-020309,AccountsReceivableNetCurrent,us-gaap/2015,,20160930,0,USD,15754000000,
0001652044-16-000038,AccountsReceivableNetCurrent,us-gaap/2015,,20151231,0,USD,11556000000,
0001652044-16-000038,AccountsReceivableNetCurrent,us-gaap/2015,,20160930,0,USD,11979000000,
0001652044-16-000038,AccruedLiabilitiesCurrent,us-gaap/2015,,20151231,0,USD,4768000000,
0001652044-16-000038,AccruedLiabilitiesCurrent,us-gaap/2015,,20160930,0,USD,4840000000,
0001628280-16-020309,AccruedLiabilitiesCurrent,us-gaap/2015,,20150930,0,USD,25181000000,
0001628280-16-020309,AccruedLiabilitiesCurrent,us-gaap/2015,,20160930,0,USD,22027000000,
0001628280-16-020309,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,us-gaap/2015,,20150930,0,USD,26786000000,
0001628280-16-020309,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,us-gaap/2015,,20160930,0,USD,34235000000,
0001652044-16-000038,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,us-gaap/2015,,20151231,0,USD,11130000000,
0001652044-16-000038,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,us-gaap/2015,,20160930,0,USD,13341000000,
0001628280-16-020309,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap/2015,,20150930,0,USD,63000000,
0001628280-16-020309,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap/2015,,20160930,0,USD,53000000,
0001652044-16-000038,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap/2015,,20151231,0,USD,296000000,
0001652044-16-000038,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap/2015,,20160930,0,USD,398000000,
0001628280-16-020309,Assets,us-gaap/2015,,20150930,0,USD,290345000000,
0001628280-16-020309,,us-gaap/2015,,20160930,0,USD,321686000000,
0001652044-16-000038,Assets,us-gaap/2015,,20151231,0,USD,147461000000,
0001652044-16-000038,Assets,us-gaap/2015,,20160930,0,USD,159948000000,
0001652044-16-000038,AssetsCurrent,us-gaap/2015,,20151231,0,USD,90114000000,
0001652044-16-000038,AssetsCurrent,us-gaap/2015,,20160930,0,USD,98546000000,
0001628280-16-020309,AssetsCurrent,us-gaap/2015,,20150930,0,USD,89378000000,
0001628280-16-020309,AssetsCurrent,us-gaap/2015,,20160930,0,USD,106869000000,
0001628280-16-020309,CashAndCashEquivalentsAtCarryingValue,us-gaap/2015,,20130930,0,USD,14259000000,
0001628280-16-020309,CashAndCashEquivalentsAtCarryingValue,us-gaap/2015,,20140930,0,USD,13844000000,
0001628280-16-020309,CashAndCashEquivalentsAtCarryingValue,us-gaap/2015,,20150930,0,USD,21120000000,
0001628280-16-020309,CashAndCashEquivalentsAtCarryingValue,us-gaap/2015,,20160930,0,USD,20484000000,
