adsh,grp,arc,negative,ptag,pversion,ctag,cversion
0001564590-14-003474,4,7,1,Assets,us-gaap/2013,Assets,us-gaap/2013
0001564590-14-003474,4,6,1,Assets,us-gaap/2013,Assets,us-gaap/2013
0001564590-14-003474,4,9,1,Assets,us-gaap/2013,Assets,us-gaap/2013
0001564590-14-003474,4,8,1,Assets,us-gaap/2013,Assets,us-gaap/2013
0001564590-14-003474,4,1,1,Assets,us-gaap/2013,Assets,us-gaap/2013
0001564590-14-003474,5,1,1,ComprehensiveIncomeNetOfTax,us-gaap/2013,ComprehensiveIncomeNetOfTax,us-gaap/2013
0001564590-14-003474,5,2,1,ComprehensiveIncomeNetOfTax,us-gaap/2013,ComprehensiveIncomeNetOfTax,us-gaap/2013
0001564590-14-003474,4,11,1,Liabilities,us-gaap/2013,Liabilities,us-gaap/2013
0001564590-14-003474,4,17,1,Liabilities,us-gaap/2013,Liabilities,us-gaap/2013
0001564590-14-003474,4,16,1,Liabilities,us-gaap/2013,Liabilities,us-gaap/2013
0001564590-14-003474,4,15,1,Liabilities,us-gaap/2013,Liabilities,us-gaap/2013
0001564590-14-003474,4,18,1,LiabilitiesAndStockholdersEquity,us-gaap/2013,LiabilitiesAndStockholdersEquity,us-gaap/2013
0001564590-14-003474,4,10,1,LiabilitiesAndStockholdersEquity,us-gaap/2013,LiabilitiesAndStockholdersEquity,us-gaap/2013
0001564590-14-003474,2,1,1,NetIncomeLoss,us-gaap/2013,NetIncomeLoss,us-gaap/2013
0001564590-14-003474,2,11,-1,NetIncomeLoss,us-gaap/2013,NetIncomeLoss,us-gaap/2013
0001564590-14-003474,5,3,1,OtherComprehensiveIncomeLossNetOfTax,us-gaap/2013,OtherComprehensiveIncomeLossNetOfTax,us-gaap/2013
0001564590-14-003474,5,4,1,OtherComprehensiveIncomeLossNetOfTax,us-gaap/2013,OtherComprehensiveIncomeLossNetOfTax,us-gaap/2013
0001564590-14-003474,4,22,1,StockholdersEquity,us-gaap/2013,StockholdersEquity,us-gaap/2013
0001564590-14-003474,4,19,1,StockholdersEquity,us-gaap/2013,StockholdersEquity,us-gaap/2013
0001564590-14-003474,4,21,1,StockholdersEquity,us-gaap/2013,StockholdersEquity,us-gaap/2013
0001564590-14-003474,4,20,1,StockholdersEquity,us-gaap/2013,StockholdersEquity,us-gaap/2013
0001564590-14-003474,13,1,1,WeightedAverageNumberOfSharesOutstandingBasic,us-gaap/2013,WeightedAverageNumberOfSharesOutstandingBasic,us-gaap/2013
0001564590-14-003474,13,2,-1,WeightedAverageNumberOfSharesOutstandingBasic,us-gaap/2013,WeightedAverageNumberOfSharesOutstandingBasic,us-gaap/2013
0001564590-14-003474,4,5,1,AssetsCurrent,us-gaap/2013,AssetsCurrent,us-gaap/2013
0001564590-14-003474,4,3,1,AssetsCurrent,us-gaap/2013,AssetsCurrent,us-gaap/2013
0001564590-14-003474,4,4,1,AssetsCurrent,us-gaap/2013,AssetsCurrent,us-gaap/2013
0001564590-14-003474,4,2,1,AssetsCurrent,us-gaap/2013,AssetsCurrent,us-gaap/2013
0001564590-14-003474,6,1,1,CashAndCashEquivalentsPeriodIncreaseDecrease,us-gaap/2013,CashAndCashEquivalentsPeriodIncreaseDecrease,us-gaap/2013
0001564590-14-003474,6,13,1,CashAndCashEquivalentsPeriodIncreaseDecrease,us-gaap/2013,CashAndCashEquivalentsPeriodIncreaseDecrease,us-gaap/2013
0001564590-14-003474,6,20,1,CashAndCashEquivalentsPeriodIncreaseDecrease,us-gaap/2013,CashAndCashEquivalentsPeriodIncreaseDecrease,us-gaap/2013
0001564590-14-003474,2,2,1,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,us-gaap/2013,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,us-gaap/2013
0001564590-14-003474,2,10,1,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,us-gaap/2013,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,us-gaap/2013
0001564590-14-003474,2,9,1,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,us-gaap/2013,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,us-gaap/2013
0001564590-14-003474,4,14,1,LiabilitiesCurrent,us-gaap/2013,LiabilitiesCurrent,us-gaap/2013
0001564590-14-003474,4,13,1,LiabilitiesCurrent,us-gaap/2013,LiabilitiesCurrent,us-gaap/2013
0001564590-14-003474,4,12,1,LiabilitiesCurrent,us-gaap/2013,LiabilitiesCurrent,us-gaap/2013
0001564590-14-003474,2,3,1,OperatingIncomeLoss,us-gaap/2013,OperatingIncomeLoss,us-gaap/2013
0001564590-14-003474,2,4,-1,OperatingIncomeLoss,us-gaap/2013,OperatingIncomeLoss,us-gaap/2013
0001564590-14-003474,3,1,1,PropertyPlantAndEquipmentNet,us-gaap/2013,PropertyPlantAndEquipmentNet,us-gaap/2013
0001564590-14-003474,3,2,-1,PropertyPlantAndEquipmentNet,us-gaap/2013,PropertyPlantAndEquipmentNet,us-gaap/2013
0001564590-14-003474,7,1,1,ShortTermInvestments,us-gaap/2013,ShortTermInvestments,us-gaap/2013
0001564590-14-003474,11,2,1,PrepaidExpenseAndOtherAssetsCurrent,us-gaap/2013,PrepaidExpenseAndOtherAssetsCurrent,us-gaap/2013
0001564590-14-003474,11,1,1,PrepaidExpenseAndOtherAssetsCurrent,us-gaap/2013,PrepaidExpenseAndOtherAssetsCurrent,us-gaap/2013
0001564590-14-003474,2,8,1,CostsAndExpenses,us-gaap/2013,CostsAndExpenses,us-gaap/2013
0001564590-14-003474,2,6,1,CostsAndExpenses,us-gaap/2013,CostsAndExpenses,us-gaap/2013
0001564590-14-003474,2,7,1,CostsAndExpenses,us-gaap/2013,CostsAndExpenses,us-gaap/2013
0001564590-14-003474,2,5,1,CostsAndExpenses,us-gaap/2013,CostsAndExpenses,us-gaap/2013
0001564590-14-003474,6,25,-1,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,us-gaap/2013,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,us-gaap/2013
0001564590-14-003474,6,24,1,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,us-gaap/2013,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,us-gaap/2013
0001564590-14-003474,6,22,-1,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,us-gaap/2013,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,us-gaap/2013
0001564590-14-003474,6,23,1,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,us-gaap/2013,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,us-gaap/2013
0001564590-14-003474,6,21,-1,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,us-gaap/2013,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,us-gaap/2013
0001564590-14-003474,6,15,-1,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,us-gaap/2013,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,us-gaap/2013
0001564590-14-003474,6,19,-1,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,us-gaap/2013,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,us-gaap/2013
0001564590-14-003474,6,14,-1,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,us-gaap/2013,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,us-gaap/2013
0001564590-14-003474,6,18,-1,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,us-gaap/2013,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,us-gaap/2013
0001564590-14-003474,6,17,1,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,us-gaap/2013,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,us-gaap/2013
0001564590-14-003474,6,16,1,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,us-gaap/2013,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,us-gaap/2013
0001564590-14-003474,6,2,1,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,us-gaap/2013,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,us-gaap/2013
0001564590-14-003474,6,3,1,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,us-gaap/2013,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,us-gaap/2013
0001564590-14-003474,6,4,1,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,us-gaap/2013,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,us-gaap/2013
0001564590-14-003474,6,9,-1,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,us-gaap/2013,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,us-gaap/2013
0001564590-14-003474,6,10,-1,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,us-gaap/2013,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,us-gaap/2013
0001564590-14-003474,6,11,1,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,us-gaap/2013,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,us-gaap/2013
0001564590-14-003474,6,6,1,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,us-gaap/2013,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,us-gaap/2013
0001564590-14-003474,6,12,1,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,us-gaap/2013,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,us-gaap/2013
